moisture,rainfall,humidity,meanTemp,maxTemp,minTemp,alkaline,sandy,chalky,clay,label
12.88158709,0,83,82,88,77,1,0,0,0,4
12.99286058,0,98,74,77,70,0,1,0,0,0
12.71536974,0,80,83,95,71,0,0,0,1,1
12.84082697,0,72,78,88,68,0,1,0,0,4
12.90668153,0,68,80,91,68,0,0,1,0,4
13.02253324,0,65,81,92,70,1,0,0,0,4
12.83321226,0,61,80,92,69,1,0,0,0,4
12.84397846,0,57,82,95,70,0,1,0,0,4
12.81902505,0,52,82,94,71,1,0,0,0,4
12.80943308,0,48,82,94,70,1,0,0,0,4
12.82666294,0,49,82,94,70,0,0,1,0,4
13.00039168,0,46,82,94,71,0,1,0,0,4
12.94538536,0,43,80,95,64,0,0,0,1,1
12.85012523,0,40,82,95,69,0,0,0,1,4
12.95080323,0,36,82,95,69,0,0,0,1,4
12.84328268,0,36,82,92,71,0,0,0,1,4
12.94521868,0,42,81,96,66,1,0,0,0,4
12.96116359,0,42,80,95,66,1,0,0,0,4
12.84499908,0,43,81,95,67,0,0,0,1,1
12.86337843,0,40,80,95,66,0,1,0,0,4
12.85857189,0,42,80,95,66,0,0,0,1,1
13.02023982,0,40,82,94,69,1,0,0,0,4
12.91434986,0,38,80,93,66,0,0,1,0,4
12.83631843,0,37,78,93,63,0,1,0,0,4
12.95237993,0,37,79,94,64,0,0,1,0,4
12.86597382,0,38,80,93,66,0,1,0,0,4
12.94588754,0,36,80,92,67,0,0,0,1,4
12.9769035,0,39,77,90,64,0,0,0,1,4
12.93412241,0,49,75,85,65,1,0,0,0,4
13.02147618,0.01149473,45,72,87,58,0,0,0,1,1
12.92997165,0,37,72,89,55,1,0,0,0,4
12.77609757,0,41,72,90,55,1,0,0,0,4
12.92964871,0,41,76,91,62,1,0,0,0,4
12.92680794,0,51,75,92,58,0,0,0,1,1
12.78616469,0,37,74,93,56,0,1,0,0,4
12.7610756,0,38,74,91,58,0,1,0,0,4
12.90291119,0,37,72,91,52,1,0,0,0,4
12.9745076999999,0,41,72,89,55,0,1,0,0,4
12.88294982,0,32,73,90,56,0,1,0,0,4
12.87063665,0,35,73,91,55,0,1,0,0,4
12.88653809,0,31,74,90,59,1,0,0,0,4
12.8119448,0,36,72,86,57,0,0,0,1,4
12.99472645,0.01435425,35,76,88,63,1,0,0,0,0
12.91744475,0.00571548,37,73,86,60,1,0,0,0,0
12.8741056,0,34,70,86,53,0,0,0,1,4
12.9605597,0,39,68,85,52,0,1,0,0,4
12.85733467,0,41,68,84,51,0,1,0,0,4
12.82579329,0,48,68,86,51,1,0,0,0,4
12.80439038,0,49,70,87,53,0,0,1,0,4
12.93032373,0,45,70,88,52,0,0,0,1,1
12.89043643,0,38,70,87,54,0,1,0,0,4
12.99727927,0,36,72,87,58,1,0,0,0,4
12.88018749,0,43,71,86,56,1,0,0,0,4
12.83514877,0,44,72,87,56,0,1,0,0,4
12.73767377,0,46,70,86,54,0,0,0,1,1
12.83687285,0,43,66,82,51,0,1,0,0,4
12.84888748,0.00858497,35,66,84,48,0,0,0,1,2
12.86477537,0,41,68,87,48,0,1,0,0,4
12.93699263,0,40,70,89,50,1,0,0,0,4
12.83265382,0,38,69,88,50,1,0,0,0,4
12.89417985,0,44,70,88,52,0,1,0,0,4
12.83398961,0,40,70,87,54,0,0,0,1,4
12.86123298,0,36,70,83,57,0,1,0,0,4
12.94827086,0,38,70,82,58,1,0,0,0,4
12.86313248,0.00161407,37,70,81,59,0,1,0,0,0
12.95589414,0.09070998,41,72,83,62,1,0,0,0,0
12.96057575,0.13591922,41,70,84,55,0,0,0,1,1
12.95504875,0.07068956,42,66,82,50,1,0,0,0,0
13.02114448,0,40,64,76,51,0,1,0,0,4
12.91385361,0.01282597,34,60,73,48,0,0,0,1,2
12.84304201,0.07029979,31,59,74,44,1,0,0,0,0
12.96742639,0.07579706,44,58,74,43,1,0,0,0,0
12.7229429999999,0.06050627,40,56,76,37,0,0,0,1,4
12.89207876,0.09101022,41,60,78,41,0,1,0,0,2
12.96178014,0.03092234,45,62,81,42,0,1,0,0,2
12.80992509,0.01243261,47,62,81,44,1,0,0,0,0
12.86050625,0.02803159,39,62,79,46,1,0,0,0,0
12.71737147,0,45,62,79,45,0,0,0,1,1
12.88078703,0.01225841,47,63,81,45,0,1,0,0,2
12.68229575,0.01394837,45,61,74,48,1,0,0,0,4
12.97584419,0.00350056,41,62,75,48,1,0,0,0,0
12.9858336,0.02202529,50,59,74,44,0,0,0,1,1
12.68514146,0.00274983,47,56,74,39,0,0,0,1,1
12.98250215,0.03893473,47,58,74,41,0,0,0,1,1
12.95072674,0.03893959,40,57,73,41,1,0,0,0,0
12.86827266,0.03775054,61,57,72,42,0,1,0,0,0
13.02691042,0.0165269,55,58,74,42,0,0,1,0,0
12.81016974,0.02979187,51,56,72,40,0,0,0,1,1
12.95207759,0.06215368,59,56,70,42,1,0,0,0,0
12.69224986,0.07964038,65,60,69,51,0,1,0,0,4
12.78604299,0.1153688,65,59,72,46,0,1,0,0,4
12.74962058,0.13252595,63,58,70,46,0,1,0,0,4
12.67720369,0.08593014,55,,71,41,0,1,0,0,4
12.8377564,0.0440461,49,56,72,40,0,1,0,0,2
13.03691103,0,48,58,74,41,0,1,0,0,4
12.76414702,0,48,61,77,45,0,0,0,1,1
13.01745317,0.02360537,46,62,77,46,0,1,0,0,2
12.64042757,0.00797621,54,62,78,45,0,1,0,0,4
12.95784488,0,45,64,74,53,0,0,0,1,1
12.95805635,0,45,65,74,56,1,0,0,0,4
13.0211267,0,57,67,77,57,1,0,0,0,4
12.8683332,0,63,66,77,54,0,0,1,0,4
12.95174974,0,54,60,68,51,1,0,0,0,4
13.06183004,0.00463658,46,53,66,40,0,0,0,1,1
12.83290703,0.00038962,52,52,68,37,0,0,0,1,0
12.91001776,0,51,54,71,36,0,1,0,0,4
12.88226015,0.00324931,38,54,70,38,0,0,0,1,0
12.91284946,0.02004627,54,54,69,38,0,1,0,0,0
12.83218857,0.05019087,54,54,72,37,0,0,0,1,1
12.84815907,0.00621426,58,58,77,39,0,1,0,0,2
12.5737011999999,0.0682302,61,60,77,42,0,1,0,0,4
12.87574669,0.03867695,41,61,77,45,0,0,0,1,1
12.94814747,0.0414143,41,62,78,46,1,0,0,0,0
12.68827114,0.02179417,48,64,80,48,1,0,0,0,4
12.82515187,0.06208248,47,66,81,51,1,0,0,0,0
13.0369974,0.08525869,46,69,85,53,0,1,0,0,2
12.87527648,0.01770803,47,70,85,56,1,0,0,0,0
12.91220552,0.03297588,50,70,81,58,0,1,0,0,2
12.87385651,0.00338271,55,64,77,52,0,0,0,1,1
12.68879348,0.01337133,57,60,73,48,0,1,0,0,4
12.93414395,0.0533169,42,65,71,59,1,0,0,0,0
12.96644689,0.04093459,42,58,71,46,1,0,0,0,0
13.00576093,0.03354535,53,56,71,42,0,0,0,1,1
12.85445686,0.11087863,43,56,70,42,0,1,0,0,2
12.87889698,0.17361032,46,55,71,39,0,0,0,1,1
12.97210737,0.11545592,42,58,73,42,0,1,0,0,2
13.13508356,0.1102721,47,60,76,43,0,1,0,0,2
12.9247268,0.06226051,48,63,80,46,0,0,1,0,0
12.93770687,0.04107468,44,66,83,48,1,0,0,0,0
12.87591711,0.08735555,44,66,84,49,0,1,0,0,2
12.82582751,0.14401957,44,68,85,51,1,0,0,0,0
